#,School,Capacity,Current Programs,EPR Programs,Current Grade Structure,EPR Ultimate Grade Structure,Oct '23* Enrolment,Oct '23 UF (%),EPR Enrolment,EPR UF (%),Enrolment Difference (Oct 23/EPR)
1,A. Lorne Cassidy Elementary School,600,"ENG, EFI, MFI","EE,FI,MFI",JK-6,JK-6,538,90%,477,80%,-61
2,Adrienne Clarkson Elementary School,714,"ENG, EFI, MFI","EE,FI,MFI",JK-6,JK-6,443,62%,421,59%,-22
3,Agincourt Road Public School,783,EFI,"EE,FI",JK-8,JK-8,622,79%,517,66%,-105
4,Alta Vista Public School,704,"ENG, EFI","EE,FI",JK-8,4-8,667,95%,536,76%,-131
5,Arch Street Public School,320,ENG,"EE,FI",JK-6,JK-3,141,44%,285,89%,144
6,Avalon Public School,513,"ENG, EFI","EE,FI",JK-6,JK-6,398,78%,399,78%,1
7,Barrhaven Public School,409,"ENG, EFI, MFI","EE,FI,MFI",JK-6,JK-6,474,116%,429,105%,-45
8,Bayshore Public School,594,"ENG, EFI","EE,FI",JK-6,JK-6,326,55%,323,54%,-3
9,Bayview Public School,315,EFI,"EE,FI",JK-4,JK-3,439,139%,297,94%,-142
10,Bell Intermediate School,253,"ENG, EFI, MFI, G.EFI","EE,FI,MFI,G.EFI",7-8,7-8,269,106%,267,106%,-2
11,Bells Corners Public School,488,"ENG, MFI","EE,FI,MFI",JK-6,JK-6,276,57%,377,77%,101
12,Berrigan Elementary School,864,"ENG, EFI","EE,FI",JK-6,JK-6,715,83%,837,97%,122
13,Blossom Park Public School,429,"ENG, MFI","EE,FI,MFI",JK-8,JK-6,324,76%,315,73%,-9
14,Briargreen Public School,409,ENG,"EE,FI",JK-6,JK-6,296,72%,286,70%,-10
15,Bridlewood Community Elementary School,459,"ENG, EFI, MFI","EE,FI,MFI",JK-6,JK-6,411,90%,415,90%,4
16,Broadview Public School,806,"ENG, EFI","EE,FI",JK-8,JK-8,886,110%,745,92%,-141
17,Cambridge Street Community Public School,323,ENG,"EE,FI",JK-6,JK-6,89,28%,252,78%,163
18,Carleton Heights Public School,369,"ENG, MFI","EE,FI,MFI",JK-6,JK-6,524,142%,415,112%,-109
19,Carson Grove Elementary School,369,ENG,"EE,FI",JK-5,JK-6,273,74%,285,77%,12
20,Castlefrank Elementary School,416,"ENG, EFI","EE,FI",JK-3,JK-3,318,76%,315,76%,-3
21,Castor Valley Elementary School,441,EFI,"EE,FI,MFI",JK-8,JK-8,710,161%,582,132%,-128
22,Cedarview Middle School,711,"ENG, EFI, MFI, G.ENG","EE,FI,MFI,G.ENG",7-8,7-8,667,94%,659,93%,-8
